Reference, Value, Footprint, Datasheet
J1,ESP8266-01,esp8266:Pin_Header_Straight_2x04,
R2,10k,esp8266:Resistor_Horizontal_RM10mm,
R1,10k,esp8266:Resistor_Horizontal_RM10mm,
R3,10k,esp8266:Resistor_Horizontal_RM10mm,
SW1,RST,esp8266:SW_PUSH_SMALL,
J3,TX_LVL,esp8266:Pin_Header_Straight_1x03,
R4,10k,esp8266:Resistor_Horizontal_RM10mm,
D1,LED,esp8266:LED-3MM,
SW2,GPIO0,esp8266:SW_PUSH_SMALL,
R7,1k,esp8266:Resistor_Horizontal_RM10mm,
R8,1k8,esp8266:Resistor_Horizontal_RM10mm,
J4,FTDI,esp8266:Pin_Header_Angled_1x06,
J2,5V0<>3V3,esp8266:Pin_Header_Straight_1x03,
U1,LD1117AV33,esp8266:TO-220_Neutral123_Horizontal_LS,
C1,10u,esp8266:Capacitor5x6RM2.5,
C2,10u,esp8266:Capacitor5x6RM2.5,
